code,name,entity_id,industry
01398,工商银行,ICBC,银行
00939,建设银行,CCB,银行
01288,农业银行,ABC,银行
03988,中国银行,BOC,银行
03968,招商银行,CMB,银行
03328,交通银行,BOCOM,银行
01658,邮储银行,PSBC,银行
02318,中国平安,PA,保险
02628,中国人寿,CLI,保险
02601,中国太保,CPIC,保险
00857,中国石油,PetroChina,石油
00386,中国石化,Sinopec,石油
01088,中国神华,Shenhua,煤炭
01211,比亚迪,BYD,汽车
02333,长城汽车,GWM,汽车
01276,恒瑞医药,Hengrui,医药
02202,万科A,Vanke,房地产
06936,顺丰控股,SF,物流
00347,宝钢股份,Baosteel,钢铁
02899,紫金矿业,Zijin,有色金属
06030,中信证券,CITICS,证券
00941,中国移动,ChinaMobile,电信
03750,宁德时代,CATM,电池
00700,腾讯控股,Tencent,互联网
03690,美团,Meituan,互联网
01810,小米集团,Xiaomi,消费电子
01024,快手,Kuaishou,互联网
00981,中芯国际,SMIC,半导体
00883,中国海油,CNOOC,石油
00358,江西铜业,JXC,有色金属
02600,中国铝业,CHALCO,有色金属
01093,石药集团,CSPC,医药
02382,舜宇光学,Sunny,光学
09988,阿里巴巴,BABA,互联网
09618,京东集团,JD,互联网
09999,网易,NetEase,互联网
02015,理想汽车,LiAuto,汽车
09868,小鹏汽车,XPeng,汽车
09866,蔚来,NIO,汽车
09888,百度,Baidu,互联网
09626,哔哩哔哩,Bilibili,互联网
